Species,Avg Weight/g,Avg Length1 - vertical,Avg Length2 - diagonal,Avg Length3 - cross,Parish,Environment Type,Body of Water,Estimated Fish Pop by Tonnes,Fish Caught Pop by Tonnes,Catch Percentage
Gobies,363,26.3,29,33.5,Clarendon,Freshwater,River,"  9,100.0 ",91,0.01
Bonito,700,31.9,35,40.5,Clarendon,Saltwater,River,  607.1 ,85,0.14
Killifish,78,17.5,18.8,21.2,Clarendon,Freshwater,Aquaculture,  833.3 ,150,0.18
Kingfish,110,19.1,20.8,23.1,Clarendon,Saltwater,Lagoon,"  1,512.5 ",121,0.08
Livebearers,300,24,26,29,Clarendon,Freshwater,River,"  1,400.0 ",140,0.1
Bonito,225,22,24,25.5,Clarendon,Saltwater,River,  884.6 ,115,0.13
Jack,188,22.6,24.6,26.2,Clarendon,Saltwater,Sea Side,  544.4 ,98,0.18
Bonito,514,30.5,32.8,34,Clarendon,Saltwater,River,  531.6 ,101,0.19
Tuna,510,40,42.5,45.5,Clarendon,Saltwater,River,  507.1 ,71,0.14
Bonito,8.7,10.8,11.3,12.6,Clarendon,Saltwater,River,  536.8 ,102,0.19
Snook,12.2,12.1,13,13.8,Clarendon,Estuarine,Lagoon,  541.2 ,92,0.17
Barracuda,290,24,26.3,31.2,Hanover,Saltwater,River,  925.0 ,74,0.08
Mangrove snapper,390,27.6,30,35,Hanover,Estuarine,River,"  1,175.0 ",94,0.08
Mangrove snapper,500,29.1,31.5,36.4,Hanover,Estuarine,River,  500.0 ,65,0.13
Whiting,600,29.4,32,37.2,Hanover,Saltwater,River,"  1,160.0 ",116,0.1
Bonito,975,37.4,41,45.9,Hanover,Saltwater,Lagoon,  531.3 ,85,0.16
Barracuda,0,19,20.5,22.8,Hanover,Saltwater,River,  578.6 ,81,0.14
Jewfish,161,22,23.4,26.7,Hanover,Estuarine,River,  506.3 ,81,0.16
Jack,270,24.1,26.5,29.3,Hanover,Saltwater,River,"  1,800.0 ",144,0.08
Jack,40,13.8,15,16,Hanover,Saltwater,Aquaculture,"  1,014.3 ",142,0.14
